,movie_title,review_content,review_score
0,Percy Jackson & the Olympians: The Lightning Thief,"Whether audiences will get behind The Lightning Thief is hard to predict. Overall, it's an entertaining introduction to a promising new world -- but will the consuming shadow of Potter be too big to break free of?",3.5/5
1,Please Give,"Holofcener always gives us more to chew on than originally meets the eye in her films and she writes female characters with an intelligence, sensitivity and realism that blows the Sex and the City foursome away any day of the week.",3/4
2,10,Obvious but entertaining portrayal of midlife crisis gone horribly awry.,4/5
3,12 Angry Men (Twelve Angry Men),"In a time of bloated when special effects have become the real stars, going back to a classic like this can remind viewers what movie making is supposed to be about -- acting.",4/4
4,"20,000 Leagues Under The Sea",[The] embodiment of Disney at his best -- family entertainment that superbly uses brand-new wonders of film technology.,7/10
5,"10,000 B.C.",A tedious bore in which grubby people stand around muttering in a variety of badly chosen accents.,1.5/5
6,The 39 Steps,"If you haven't seen it, do.",10/10
7,3:10 to Yuma,"Fine Daves, Ford collaborative western",5/5
8,Charly (A Heartbeat Away),The romance between the leads isn't as compelling or as believable as it should be.,2/4
9,Abraham Lincoln,An archaic biopic.,B-
10,Dark Water,"...while Dark Water isn't a complete wash (no pun intended), watched side-by-side with Ringu, it ultimately comes off as a pale successor.",2.5/4
11,The Accused,The Accused demonstrates that rape victims often are suspects in their own cases.,3/4
12,The Lost City,"Despite the strong emotional connection many Miamians will feel toward the movie, The Lost City falls far short of the sweep, complexity and passion it strives for.",2/4
13,The Breaking Point,Clearly the best movie adaptation of a Hemingway novel.,A
14,Adam's Rib,"Adam's Rib gives us writers, performers and a director all operating at peak levels of performance; it's a classic comedy.",86/100
15,The Bridge of San Luis Rey,Pedestrian...a high-minded snoozer studded with stars who all seem almost perversely miscast and directed in a grimly deliberate style designed to italicize every point.,D
16,The Prowler (Cost of Living ),A neat noir thriller.,B+
17,Criminal,We got two and a half more months of crap to go before we get to the holiday/awards season.,3/5
18,The Adventures of Mark Twain,There's more than enough weird and wise material to keep you entertained -- especially if you're an animation buff or a Samuel Clemens aficionado.,4/5
19,Deep Blue,"A nice piece of work, but unfortunately it smacks of bandwagon-jumping following the success of such docs as Winged Migration.",B
20,The Adventures of Robin Hood,"This is one of the truly great adventure films of all time, and features a terrific performance by the perfectly cast Flynn.",5/5
21,Man Hunt,a daring film that explicitly prefigures the surge of anti-Nazi cinema that was to come,3/4
22,Dead End,Like a Twilight Zone episode stretched out into a feature ... without adding much subtext.,2.5/5
23,Bandwagon,A funny and rollickingly good movie about the challenges of keeping a band together on the road.,3/5
24,Whore,"Director Russell is gifted with an eye for the extreme, but sometimes he gets ahead of himself, thinking that odd camera angles and crude delivery will save a threadbare plot.",2/5
25,Tristan & Isolde,Two phoned-in performances do not a romance make.,1.5/4
26,Wild Side,"The performances are all raw and natural, and they are filmed in a close-up and often very intimate way.",3/5
27,A Tale of Two Pizzas,For what the film had to work with -- a thin script -- it flawlessly achieved what it set it out to do.,B
28,Running Scared,An unapologetic in-your-face thriller that's sure to take those who are expecting a typical Paul Walker movie by surprise.,B+
29,Going the Distance,"It's a Bland, Dull, Dumb Movie.",44/100
30,Ultraviolet,"Ultraviolet will be studied with great interest in the future - not for its quality or its artistic merit, but rather to discover how a turd like this was made.",1.5/5
31,Home of the Brave,Powerful doc that indicts the FBI as much as it condemns the Ku Klux Klan.,B+
32,Arthur and the Invisibles (Arthur and the Minimoys),Luc Besson's Arthur and the Invisibles clears the smog left behind by the year's dubious family entertainments.,3/4
33,Malevolence,Stevan Mena's debut film carves up body after body in a ritual homage to the serial-killer genre.,2/5
34,Eternal,It's the multidimensional characterization and dialogue that elevates this film far far above being just a vampire movie with a more literate back-story.,3.5/5
35,A Farewell To Arms,We have David O. Selznick to blame for this bloated two-hour-+ Technicolor remake.,1.5/4
36,The Narrow Margin,This sleeper may very well be the best B-film ever made.,A
37,The Matador,"Like the down-and-out version of his Tailor of Panama character, Brosnan's performance here is a sincere treasure; possibly the most entertaining of his career.",3/4
38,Smile,"Smile is like a dose of cod liver oil: It may be good for you, but it's no fun.",1/5
39,The Intruder (L'Intrus),"It's intended to puzzle us -- and sure, the little puzzles peppered throughout the film are fine. It's the grand non-sequiturs that are distracting.",2/4
40,Saint Ralph,The first twenty minutes of Saint Ralph seem more like a primer on the up-close-and-personal art of adolescent self abuse than subtle narrative exposition.,2.5/5
41,The Baxter,"Chooses to embrace, rather than transcend via zany bawdiness, the schmaltzy genre within which it's operating.",2.5/4
42,Oliver Twist,This version of Twist is a flawless adaptation; finding the right balance between story and screen. Simply enthralling.,86/100
43,The Alamo,"Could Wayne have crafted a better film if he only tried his hand at directing, instead of putting on the hero's mantle as well? Doubtful.",D+
44,G,"The producers may be right to bemoan Hollywood's myopia; but it's the movie's execution, not its vision of an alternative African-American cinema, that delayed its release.",2/4
